id_atendimento,id_cliente,angel,polo,data_limite,data_de_atendimento
1347,944516943,Eduardo Bandoli Oliveira,RJ - MACAE,2021-06-30,
1305,924226281,Fabricio Terra Torres,ES - GUARAPARI,2021-06-30,
1310,67098723,Mariana Pereira Xará,PE - GRAVATA,2021-06-30,
1456,97759807,Gabriel Oliveira de,BA - ALAGOINHAS,2021-06-30,
1367,906500135,Mariana Magalhães de,PB - CAMPINA GRANDE,2021-06-30,
1526,146811780,Eduardo Lima Ferreira,RJ - RESENDE,2021-06-30,
1507,747269444,Mariana Oliveira Pereira,PE - BUNKER RECIFE 1,2021-06-30,
1489,142469460,Jônatas Xará Wanderley,PI - TERESINA,2021-06-30,
1474,960750652,João Wanderley Neves,RJ - VOLTA REDONDA,2021-06-30,
1557,590182370,Gabriel Virgilio Bandoli,AC - RIO BRANCO,2021-06-30,
1663,236682985,Pedro Magalhães Neves,GO - VALPARAISO DE GOIAS,2021-06-30,
1585,885582542,Pedro Sena Torres,GO - VALPARAISO DE GOIAS,2021-06-30,
1594,93048578,Mariana Terra Ferreira,PB - JOAO PESSOA,2021-06-30,
1587,359963568,Sergio Lima Virgilio,DF - BRASILIA,2021-06-30,
1728,828588197,Bruna Neves Ferreira,MT - PRIMAVERA DO LESTE,2021-06-30,
1854,968515792,Pedro Xará Bandoli,MG - ALFENAS,2021-06-30,
1828,846023674,Éder Sena Bandoli,PR - MARINGA,2021-06-30,
1840,472673716,Fabricio de Xará,GO - CATALAO,2021-06-30,
1819,137100452,Jônatas Virgilio Pereira,PE - JABOATAO DOS GUARARAPES,2021-06-30,
1809,374885254,Éder Virgilio Bandoli,PR - LONDRINA,2021-06-30,
1816,888809481,Sergio Neves Sena,DF - BRASILIA,2021-06-30,
1959,32404069,Eduardo Bandoli Xará,RJ - MACAE,2021-06-30,
1949,315335877,Bruna Bandoli Virgilio,MS - CAMPO GRANDE,2021-06-30,
1907,650403235,Jônatas de Neves,PR - APUCARANA,2021-06-30,
1939,817906381,Bruna Ferreira Oliveira,MG - POÇOS DE CALDAS,2021-06-30,
1893,983533972,Jônatas Lima Magalhães,PR - CURITIBA,2021-06-30,
1970,50273765,João Sena Magalhães,RJ - SAO GONÇALO,2021-06-30,
1997,699984552,Pedro Magalhães Sena,GO - VALPARAISO DE GOIAS,2021-06-30,
2050,257157328,Mariana de Bandoli,PE - BUNKER RECIFE 1,2021-06-30,
1972,632132073,Éder Virgilio Terra,PR - LONDRINA,2021-06-30,
2060,683746270,Eduardo Pereira Ferreira,RJ - RIO DAS OSTRAS,2021-06-30,
1977,419019310,Gabriel Terra Torres,AM - MANAUS,2021-06-30,
1991,294816692,Fabricio Wanderley de,ES - VITORIA,2021-06-30,
1996,897966654,Éder Oliveira Torres,RJ - CABO FRIO,2021-06-30,
2109,784120333,João Oliveira Magalhães,RN - NATAL,2021-06-30,
2099,408345711,Gabriel Pereira Terra,BA - FEIRA DE SANTANA,2021-06-30,
2157,664352295,Éder Sena Virgilio,PR - MARINGA,2021-06-30,
2150,889888848,Fabricio Terra Torres,ES - GUARAPARI,2021-06-30,
2126,954509109,Bruna Bandoli de,MS - CAMPO GRANDE,2021-06-30,
2148,916306390,Mariana Wanderley Ferreira,PB - PATOS,2021-06-30,
2086,238875178,João Pereira Magalhães,RS - CAXIAS DO SUL,2021-06-30,
2151,5970848,Pedro Neves Magalhães,MG - JUIZ DE FORA,2021-06-30,
2146,390982910,Pedro Oliveira Torres,MG - BELO HORIZONTE,2021-06-30,
2235,892068932,Éder Xará Neves,RJ - BUNKER 1,2021-06-30,
2187,887593133,Bruna Lima Ferreira,MT - PRIMAVERA DO LESTE,2021-06-30,
2265,642140170,Fabricio Pereira Oliveira,GO - ITUMBIARA,2021-06-30,
2197,19860617,Mariana Xará Bandoli,PB - PATOS,2021-06-30,
2295,675466469,Gabriel Xará Lima,AP - MACAPA,2021-06-30,
2338,861032131,João Lima Ferreira,RO - PORTO VELHO,2021-06-30,
2405,869578479,Pedro Neves Terra,MG - JUIZ DE FORA,2021-06-30,
2366,511220058,Éder Bandoli Xará,RJ - BANGU,2021-06-30,
2563,516980195,Mariana Sena Virgilio,PB - CAMPINA GRANDE,2021-06-30,
2522,229546501,Gabriel Ferreira Terra,AC - RIO BRANCO,2021-06-30,
2498,980951269,Eduardo Oliveira Sena,RJ - RECREIO,2021-06-30,
2488,198215223,João Torres Terra,RS - CAXIAS DO SUL,2021-06-30,
2484,395801277,Gabriel Pereira Oliveira,BA - FEIRA DE SANTANA,2021-06-30,
2642,228133261,Gabriel Sena Ferreira,AL - MACEIO,2021-06-30,
2599,915640480,Fabricio Lima Xará,GO - GOIANIA,2021-06-30,
2572,709047009,Pedro Neves Bandoli,MG - JUIZ DE FORA,2021-06-30,
2650,179123587,Jônatas Bandoli Virgilio,PE - VALE DO SAO FRANCISCO,2021-06-30,
2648,175804686,Pedro Pereira Lima,MG - PATOS DE MINAS,2021-06-30,
2576,460010360,Sergio Sena Torres,CE - CASCAVEL,2021-06-30,
2675,226359212,Jônatas de Magalhães,PR - APUCARANA,2021-06-30,
2735,571852424,Gabriel Lima Sena,BA - BUNKER SALVADOR,2021-06-30,
2688,595625271,João Terra Wanderley,RJ - SAQUAREMA,2021-06-30,
2687,891264457,Mariana Magalhães Virgilio,PB - CAMPINA GRANDE,2021-06-30,
2716,969915463,Eduardo Oliveira Xará,RJ - RECREIO,2021-06-30,
2855,895327359,Fabricio de Lima,GO - CATALAO,2021-06-30,
2884,770072056,Jônatas Sena Terra,PE - OLINDA,2021-06-30,
2893,289826118,Pedro Pereira Xará,MG - PATOS DE MINAS,2021-06-30,
3058,788589326,Jônatas Lima Neves,PR - CURITIBA,2021-06-30,
3013,342722876,Pedro Virgilio Xará,GO - RIO VERDE,2021-06-30,
3050,415277152,Jônatas Pereira Ferreira,PR - FOZ DO IGUAÇU,2021-06-30,
3000,212767620,João Sena Terra,RJ - SAO GONÇALO,2021-06-30,
3124,675984767,Gabriel de Neves,BA - ALAGOINHAS,2021-06-30,
3115,40509857,Jônatas de Terra,PR - APUCARANA,2021-06-30,
3066,140621244,Jônatas Terra Xará,PE - VALE DO SAO FRANCISCO,2021-06-30,
3141,512828202,João Terra Ferreira,RJ - SAQUAREMA,2021-06-30,
3214,717525540,Fabricio Lima Xará,GO - GOIANIA,2021-06-30,
3260,348542743,Jônatas Ferreira Xará,PE - JABOATAO DOS GUARARAPES,2021-06-30,
3329,910597319,Pedro Pereira Lima,MG - PATOS DE MINAS,2021-06-30,
3332,121941519,Sergio Sena Bandoli,CE - CASCAVEL,2021-06-30,
3267,263170775,Fabricio Magalhães Lima,ES - CACHOEIRO DE ITAPEMIRIM,2021-06-30,
3309,646100177,Bruna Ferreira de,MG - POÇOS DE CALDAS,2021-06-30,
3269,795133604,Mariana Torres Oliveira,PE - GRAVATA,2021-06-30,
3447,787017888,Sergio Virgilio Ferreira,BA - VITORIA DA CONQUISTA,2021-06-30,
3366,559515131,Fabricio Bandoli Neves,ES - GUARAPARI,2021-06-30,
3378,234741849,Mariana Virgilio Oliveira,PA - MARABA,2021-06-30,
3542,207826505,Jônatas Oliveira Neves,PR - APUCARANA,2021-06-30,
3527,851078331,Bruna Terra Torres,MS - CAMPO GRANDE,2021-06-30,
3468,425036811,Bruna Lima Oliveira,MT - PRIMAVERA DO LESTE,2021-06-30,
3621,250731858,Pedro Bandoli Lima,MA - SAO LUIS,2021-06-30,
3583,649266112,Eduardo Terra Virgilio,RJ - MACAE,2021-06-30,
3601,461205329,Mariana Oliveira Bandoli,PE - BUNKER RECIFE 1,2021-06-30,
3594,265692075,Eduardo Sena Torres,RJ - ITAPERUNA,2021-06-30,
3637,306695853,Bruna Pereira Xará,PA - CASTANHAL,2021-06-30,
3705,922876431,Sergio Oliveira Bandoli,CE - SOBRAL,2021-06-30,
3712,47537793,Jônatas Neves Lima,PR - CURITIBA,2021-06-30,
3703,546211506,Éder Virgilio Torres,PR - LONDRINA,2021-06-30,
3695,540862560,João Xará Lima,RJ - VOLTA REDONDA,2021-06-30,
3687,579447072,Gabriel Torres Virgilio,BA - FEIRA DE SANTANA,2021-06-30,
3707,85380241,Pedro Ferreira Lima,GO - RIO VERDE,2021-06-30,
3679,944532736,Fabricio Xará Wanderley,ES - VITORIA,2021-06-30,
3779,728061567,João Virgilio Terra,RJ - SANTA CRUZ,2021-06-30,
3820,275620986,Gabriel Terra Oliveira,AM - MANAUS,2021-06-30,
3794,948127439,Eduardo Xará Sena,RJ - NITEROI,2021-06-30,
3774,797664580,Gabriel Magalhães Xará,AL - MACEIO,2021-06-30,
3791,136121408,Bruna Lima Virgilio,MT - PRIMAVERA DO LESTE,2021-06-30,
3771,405586488,Sergio Terra Bandoli,CE - FORTALEZA,2021-06-30,
3890,733532904,Bruna Virgilio Magalhães,MG - POÇOS DE CALDAS,2021-06-30,
4019,151755954,Bruna Ferreira Sena,MG - POÇOS DE CALDAS,2021-06-30,
4046,610891447,Sergio Lima Bandoli,DF - BRASILIA,2021-06-30,
4048,958626650,Bruna Virgilio Terra,MG - POÇOS DE CALDAS,2021-06-30,
4042,295481131,Éder Neves Pereira,RJ - CAMPO GRANDE,2021-06-30,
4053,792731079,Mariana Neves Ferreira,PE - CARUARU,2021-06-30,
4024,193540811,Éder de Xará,RJ - CABO FRIO,2021-06-30,
4052,54594351,Mariana Xará Terra,PB - PATOS,2021-06-30,
4043,19888030,João Xará Magalhães,RJ - VOLTA REDONDA,2021-06-30,
4126,267497224,Sergio Sena Oliveira,CE - CASCAVEL,2021-06-30,
4075,324835350,Eduardo Wanderley Sena,RJ - NITEROI,2021-06-30,
4163,123574619,Mariana Lima Neves,PE - CARUARU,2021-06-30,
4150,538383070,Pedro Virgilio Xará,GO - RIO VERDE,2021-06-30,
4136,153666159,Sergio Xará de,CE - JUAZEIRO DO NORTE,2021-06-30,
4076,654544187,Mariana Virgilio Magalhães,PA - MARABA,2021-06-30,
4181,130004769,Bruna Wanderley Pereira,MS - DOURADOS,2021-06-30,
4223,648429553,Mariana Bandoli Torres,PB - JOAO PESSOA,2021-06-30,
4189,729210186,Éder Ferreira Terra,PR - LONDRINA,2021-06-30,
4204,456621670,Bruna Pereira Sena,PA - CASTANHAL,2021-06-30,
4209,261767402,Fabricio Magalhães Virgilio,ES - CACHOEIRO DE ITAPEMIRIM,2021-06-30,
4230,399982282,Éder de Lima,RJ - CABO FRIO,2021-06-30,
4226,110817480,Jônatas Bandoli Torres,PE - VALE DO SAO FRANCISCO,2021-06-30,
4227,647543341,Éder Torres Magalhães,RJ - CAMPOS,2021-06-30,
4332,218892864,Bruna Ferreira Neves,MG - POÇOS DE CALDAS,2021-07-01,
4289,341154395,Gabriel Lima Bandoli,BA - BUNKER SALVADOR,2021-06-30,
4413,163445219,Gabriel Oliveira Pereira,BA - ALAGOINHAS,2021-07-01,
4393,485503240,Éder Virgilio Bandoli,PR - LONDRINA,2021-07-01,
4404,922102108,Pedro Magalhães Pereira,GO - VALPARAISO DE GOIAS,2021-07-01,
4521,205070703,João Pereira Bandoli,RS - CAXIAS DO SUL,2021-07-01,
4555,858477823,Gabriel Virgilio Oliveira,AC - RIO BRANCO,2021-07-01,
4550,401814358,Sergio Terra Xará,CE - FORTALEZA,2021-07-01,
4508,275377524,Pedro Lima Wanderley,MG - JUIZ DE FORA,2021-07-01,
4511,192739361,Pedro Sena de,GO - VALPARAISO DE GOIAS,2021-07-01,
4524,861863409,Gabriel Lima Virgilio,BA - BUNKER SALVADOR,2021-07-01,
4564,661761986,Éder Xará de,RJ - BUNKER 1,2021-07-01,
4617,361621193,João Pereira Wanderley,RS - CAXIAS DO SUL,2021-07-01,
4657,753074081,Eduardo Sena Bandoli,RJ - ITAPERUNA,2021-07-01,
4569,965124260,Bruna Pereira Lima,PA - CASTANHAL,2021-07-01,
4612,622066518,Pedro Wanderley Torres,MG - ALFENAS,2021-07-01,
4631,573675116,Pedro Virgilio Pereira,GO - RIO VERDE,2021-07-01,
4601,879363948,João Pereira Wanderley,RS - CAXIAS DO SUL,2021-07-01,
4641,606218990,Gabriel Magalhães Xará,AL - MACEIO,2021-07-01,
4659,921812970,João Magalhães Sena,RJ - SAO GONÇALO,2021-07-01,
4623,201147455,Eduardo Pereira Lima,RJ - RIO DAS OSTRAS,2021-07-01,
4671,379071413,Jônatas Virgilio Neves,PE - JABOATAO DOS GUARARAPES,2021-07-01,
4847,758243344,Éder Ferreira Torres,PR - LONDRINA,2021-07-01,
4772,72498302,Pedro de Sena,MG - BELO HORIZONTE,2021-07-01,
4794,775315106,Éder Pereira Magalhães,RJ - CAMPOS,2021-07-01,
4815,191575212,João Oliveira Bandoli,RN - NATAL,2021-07-01,
4767,650807803,Mariana Wanderley Sena,PB - PATOS,2021-07-01,
4832,98241386,João Xará Sena,RJ - VOLTA REDONDA,2021-07-01,
4844,188791705,Bruna Xará Lima,MS - DOURADOS,2021-07-01,
4953,703241704,Éder Torres Magalhães,RJ - CAMPOS,2021-07-01,
4939,994284510,Mariana Pereira Wanderley,PE - GRAVATA,2021-07-01,
4954,496197381,João Neves Ferreira,RO - PORTO VELHO,2021-07-01,
4934,329261647,Éder Wanderley Xará,RJ - BUNKER 1,2021-07-01,
4878,87560250,Pedro Xará Bandoli,MG - ALFENAS,2021-07-01,
4935,823959479,Jônatas Virgilio Neves,PE - JABOATAO DOS GUARARAPES,2021-07-01,
5034,553042550,Éder Xará Terra,RJ - BUNKER 1,2021-07-01,
5057,479619264,Bruna Neves Terra,MT - PRIMAVERA DO LESTE,2021-07-01,
4975,211571613,João Torres Ferreira,RS - CAXIAS DO SUL,2021-07-01,
5019,846219063,Eduardo Terra Wanderley,RJ - MACAE,2021-07-01,
5002,767443381,Fabricio Torres Xará,GO - ITUMBIARA,2021-07-01,
5010,174316754,Bruna Magalhães Xará,MG - POUSO ALEGRE,2021-07-01,
5003,47125908,Gabriel Virgilio Oliveira,AC - RIO BRANCO,2021-07-01,
4966,9002288,Eduardo Oliveira Pereira,RJ - RECREIO,2021-07-01,
5100,223040086,Eduardo Lima Terra,RJ - RESENDE,2021-07-01,
5146,34951944,Fabricio Neves Pereira,GO - GOIANIA,2021-07-01,
5098,545038547,Gabriel Torres de,BA - FEIRA DE SANTANA,2021-07-01,
5143,989551000,Gabriel Oliveira Sena,BA - ALAGOINHAS,2021-07-01,
5226,88949964,Mariana Ferreira Neves,PA - MARABA,2021-07-01,
5256,763015897,João Neves Magalhães,RO - PORTO VELHO,2021-07-01,
5250,891762587,Bruna Terra Xará,MS - CAMPO GRANDE,2021-07-01,
5262,312084943,Mariana Lima de,PE - CARUARU,2021-07-01,
5179,673775133,Eduardo Pereira de,RJ - RIO DAS OSTRAS,2021-07-01,
5166,287064003,Bruna Torres Magalhães,PA - CASTANHAL,2021-07-01,
5356,261846567,Pedro Oliveira Lima,MG - BELO HORIZONTE,2021-07-01,
5314,552712649,João Oliveira Neves,RN - NATAL,2021-07-01,
5361,383085895,Eduardo Sena Ferreira,RJ - ITAPERUNA,2021-07-01,
5298,190154923,Bruna Lima Sena,MT - PRIMAVERA DO LESTE,2021-07-01,
5287,43920658,Gabriel Xará Sena,AP - MACAPA,2021-07-01,
5307,769465574,Eduardo Virgilio Sena,RJ - DUQUE DE CAXIAS,2021-07-01,
5291,857387644,Éder Oliveira Virgilio,RJ - CABO FRIO,2021-07-01,
5372,423965016,Sergio Wanderley Oliveira,CE - JUAZEIRO DO NORTE,2021-07-01,
5384,598471453,Mariana Wanderley Sena,PB - PATOS,2021-07-01,
5445,428150905,Fabricio Magalhães Sena,ES - CACHOEIRO DE ITAPEMIRIM,2021-07-01,
5560,938525856,João Lima Ferreira,RO - PORTO VELHO,2021-07-01,
5538,873852065,Sergio Magalhães Xará,CE - CASCAVEL,2021-07-01,
5545,591074615,Sergio Bandoli Pereira,CE - FORTALEZA,2021-07-01,
5610,641409827,Eduardo Wanderley de,RJ - NITEROI,2021-07-01,
5649,386166045,Jônatas Virgilio Terra,PE - JABOATAO DOS GUARARAPES,2021-07-01,
5634,318597101,Mariana Neves Oliveira,PE - CARUARU,2021-07-01,
5732,801730209,João Sena Oliveira,RJ - SAO GONÇALO,2021-07-01,
5717,981861843,Mariana Virgilio Wanderley,PA - MARABA,2021-07-01,
5765,944869465,Gabriel Terra Oliveira,AM - MANAUS,2021-07-01,
5694,584399010,Sergio Magalhães Wanderley,CE - CASCAVEL,2021-07-01,
5704,212154164,Gabriel Xará Torres,AP - MACAPA,2021-07-01,
5797,326205104,Bruna Ferreira Sena,MG - POÇOS DE CALDAS,2021-07-01,
5857,485811936,Éder Terra Magalhães,RJ - BANGU,2021-07-01,
5826,440214218,Bruna de Magalhães,MT - CUIABA,2021-07-01,
5795,412153918,Jônatas Lima Xará,PR - CURITIBA,2021-07-01,
5822,795672279,Sergio Virgilio Wanderley,BA - VITORIA DA CONQUISTA,2021-07-01,
5850,44844586,Jônatas Oliveira Wanderley,PR - APUCARANA,2021-07-01,
5784,335056569,Jônatas Xará Torres,PI - TERESINA,2021-07-01,
5864,675995107,Éder Sena Xará,PR - MARINGA,2021-07-01,
5881,913139654,Bruna Magalhães Virgilio,MG - POUSO ALEGRE,2021-07-01,
5873,695366994,Mariana Xará Terra,PB - PATOS,2021-07-01,
5906,763384418,João Ferreira Oliveira,RJ - SANTA CRUZ,2021-07-01,
6062,504048525,Sergio Oliveira de,CE - SOBRAL,2021-07-01,
6009,275214792,Bruna Pereira de,PA - CASTANHAL,2021-07-01,
6059,271922841,Sergio Lima Virgilio,DF - BRASILIA,2021-07-01,
5985,734466529,Gabriel Torres Pereira,BA - FEIRA DE SANTANA,2021-07-01,
6015,824287138,Gabriel Virgilio Lima,AC - RIO BRANCO,2021-07-01,
6162,410618349,Bruna Xará Lima,MS - DOURADOS,2021-07-01,
6160,689756190,Fabricio Torres Wanderley,GO - ITUMBIARA,2021-07-01,
6105,144180809,João Lima Oliveira,RO - PORTO VELHO,2021-07-01,
6151,93535192,Jônatas Wanderley Magalhães,PI - TERESINA,2021-07-01,
6132,619036709,Fabricio Sena de,ES - CACHOEIRO DE ITAPEMIRIM,2021-07-01,
6182,519936533,Éder Sena Lima,PR - MARINGA,2021-07-01,
6218,28179061,Gabriel Oliveira Wanderley,BA - ALAGOINHAS,2021-07-01,
6253,955859121,Bruna Bandoli Lima,MS - CAMPO GRANDE,2021-07-01,
6257,247281379,Pedro Neves de,MG - JUIZ DE FORA,2021-07-01,
6185,359012971,Jônatas Wanderley Torres,PI - TERESINA,2021-07-01,
6227,460286184,Bruna Torres Sena,PA - CASTANHAL,2021-07-01,
6354,604079790,Sergio Lima Xará,DF - BRASILIA,2021-07-01,
6281,212175687,João Magalhães Wanderley,RJ - SAO GONÇALO,2021-07-01,
6300,213977951,Sergio de Neves,CE - SOBRAL,2021-07-01,
6311,590748582,Fabricio Sena Xará,ES - CACHOEIRO DE ITAPEMIRIM,2021-07-01,
6432,343125005,Gabriel Neves Lima,BA - BUNKER SALVADOR,2021-07-01,
6375,757961274,Bruna Pereira Lima,PA - CASTANHAL,2021-07-01,
6561,207970046,Fabricio Ferreira Xará,ES - ARACRUZ,2021-07-01,
6537,214210378,Pedro Terra Magalhães,MA - SAO LUIS,2021-07-01,
6562,339062039,Pedro Terra Xará,MA - SAO LUIS,2021-07-01,
6508,881820610,Fabricio Xará Lima,ES - VITORIA,2021-07-01,
6534,755832860,Bruna Virgilio Pereira,MG - POÇOS DE CALDAS,2021-07-01,
6542,599114923,João Bandoli Oliveira,RJ - SAQUAREMA,2021-07-01,
6584,515141205,Fabricio Virgilio Torres,ES - ARACRUZ,2021-07-01,
6676,696235752,Pedro Terra Virgilio,MA - SAO LUIS,2021-07-01,
6717,600854846,Mariana Oliveira de,PE - BUNKER RECIFE 1,2021-07-01,
6698,18705533,Jônatas Wanderley de,PI - TERESINA,2021-07-01,
6735,502478392,Sergio Torres Virgilio,DF - PLANALTINA,2021-07-01,
6683,573964238,Gabriel Bandoli Sena,AM - MANAUS,2021-07-01,
6777,674293972,João Magalhães Pereira,RJ - SAO GONÇALO,2021-07-01,
6832,294455520,Fabricio Virgilio Sena,ES - ARACRUZ,2021-07-01,
6963,527558421,Mariana Lima Pereira,PE - CARUARU,2021-07-01,
6900,177046050,Jônatas Magalhães Bandoli,PE - OLINDA,2021-07-01,
6911,328179836,João Neves Torres,RO - PORTO VELHO,2021-07-01,
6947,645088767,Sergio Xará Oliveira,CE - JUAZEIRO DO NORTE,2021-07-01,
6990,995442959,Éder de Oliveira,RJ - CABO FRIO,2021-07-01,
6991,931676578,Gabriel Xará Pereira,AP - MACAPA,2021-07-01,
7051,121368412,Mariana Neves Lima,PE - CARUARU,2021-07-01,
6974,178743666,Jônatas Neves Terra,PR - CURITIBA,2021-07-01,
7139,648829395,Sergio Wanderley Ferreira,CE - JUAZEIRO DO NORTE,2021-07-01,
7087,260032496,Pedro Terra de,MA - SAO LUIS,2021-07-01,
7198,564789695,Éder Ferreira Oliveira,PR - LONDRINA,2021-07-01,
7206,670148551,Sergio Oliveira Torres,CE - SOBRAL,2021-07-01,
7210,819878436,Pedro Bandoli Magalhães,MA - SAO LUIS,2021-07-01,
7338,634942284,Fabricio Torres Neves,GO - ITUMBIARA,2021-07-01,
7295,844466724,Éder Xará Magalhães,RJ - BUNKER 1,2021-07-01,
7461,959463289,João Sena Lima,RJ - SAO GONÇALO,2021-07-01,
7462,281386015,Pedro Virgilio Terra,GO - RIO VERDE,2021-07-01,
7385,33896300,Sergio Virgilio Neves,BA - VITORIA DA CONQUISTA,2021-07-01,
7560,329313447,Pedro Pereira Bandoli,MG - PATOS DE MINAS,2021-07-01,
7524,462797787,João Torres Magalhães,RS - CAXIAS DO SUL,2021-07-01,
7539,584942966,Mariana Bandoli Wanderley,PB - JOAO PESSOA,2021-07-01,
7498,49518694,Gabriel Oliveira de,BA - ALAGOINHAS,2021-07-01,
7504,73360219,Mariana Xará Ferreira,PB - PATOS,2021-07-01,
7579,207876403,Eduardo Neves Magalhães,RJ - RESENDE,2021-07-01,
7715,465987408,Eduardo Xará Lima,RJ - NITEROI,2021-07-01,
7666,825151345,Mariana Bandoli Magalhães,PB - JOAO PESSOA,2021-07-01,
7690,872840498,Bruna Sena Magalhães,MG - POUSO ALEGRE,2021-07-01,
7793,380641094,Eduardo Terra Bandoli,RJ - MACAE,2021-07-01,
7789,291020418,Mariana Terra Wanderley,PB - JOAO PESSOA,2021-07-01,
7795,942732948,Fabricio Wanderley Sena,ES - VITORIA,2021-07-01,
7833,890508490,Mariana Pereira Oliveira,PE - GRAVATA,2021-07-01,
7786,885024357,Jônatas de Sena,PR - APUCARANA,2021-07-01,
7938,487341603,Bruna Wanderley Xará,MS - DOURADOS,2021-07-01,
7881,578364329,Éder Pereira Virgilio,RJ - CAMPOS,2021-07-01,
7930,177538478,Jônatas de Ferreira,PR - APUCARANA,2021-07-01,
7869,579811689,Pedro Virgilio de,GO - RIO VERDE,2021-07-01,
7873,833476822,Mariana Bandoli Pereira,PB - JOAO PESSOA,2021-07-01,
7909,930494331,Gabriel Torres de,BA - FEIRA DE SANTANA,2021-07-01,
7872,949189077,Bruna Bandoli de,MS - CAMPO GRANDE,2021-07-01,
7929,774658253,João Wanderley Magalhães,RJ - VOLTA REDONDA,2021-07-01,
7999,98651628,Bruna Pereira Lima,PA - CASTANHAL,2021-07-01,
7972,432825646,Mariana Ferreira Bandoli,PA - MARABA,2021-07-01,
8019,907879307,Jônatas Xará Oliveira,PI - TERESINA,2021-07-01,
8011,689776939,Fabricio Wanderley Lima,ES - VITORIA,2021-07-01,
8138,301314509,Mariana Ferreira Torres,PA - MARABA,2021-07-01,
8081,77273813,Jônatas Lima de,PR - CURITIBA,2021-07-01,
8086,126170807,Gabriel Wanderley de,AP - MACAPA,2021-07-01,
8142,911551382,Pedro de Neves,MG - BELO HORIZONTE,2021-07-01,
8194,16743880,Jônatas de Wanderley,PR - APUCARANA,2021-07-01,
8247,987117575,Gabriel Ferreira Sena,AC - RIO BRANCO,2021-07-01,
8358,370386548,Pedro Pereira Terra,MG - PATOS DE MINAS,2021-07-01,
8304,831061024,Fabricio Virgilio Wanderley,ES - ARACRUZ,2021-07-01,
8284,673124839,Fabricio Oliveira Virgilio,GO - CATALAO,2021-07-01,
8312,693493280,João Lima de,RO - PORTO VELHO,2021-07-01,
8335,998270765,Sergio de Xará,CE - SOBRAL,2021-07-01,
8416,201107844,Fabricio Pereira Virgilio,GO - ITUMBIARA,2021-07-01,
8443,509819631,Pedro Torres Virgilio,MG - PATOS DE MINAS,2021-07-01,
8449,872795735,Jônatas Wanderley Bandoli,PI - TERESINA,2021-07-01,
8402,446527695,Pedro de Ferreira,MG - BELO HORIZONTE,2021-07-01,
8462,184213335,Bruna Wanderley Ferreira,MS - DOURADOS,2021-07-01,
8454,796276014,Fabricio Terra Virgilio,ES - GUARAPARI,2021-07-01,
8389,979327496,Sergio Pereira Virgilio,DF - PLANALTINA,2021-07-01,
8397,350824397,Bruna Bandoli Ferreira,MS - CAMPO GRANDE,2021-07-01,
8519,664998418,Sergio Virgilio de,BA - VITORIA DA CONQUISTA,2021-07-01,
